Nom Film,Resume,date,heure,Type ,Réalisateur,Acteur,Note presse,Note Public
J. Edgar,"""Le film explore la vie publique et privée de l’une des figures les plus puissantes, les plus controversées et les plus énigmatiques du 20e siècle, J. Edgar Hoover.""","11 janvier 2012
","
2h 15min
","""
Biopic,
Drame""","
Clint Eastwood","""
Kodi Smit-McPhee,
Jóhannes Haukur Jóhannesson,
Marcin Kowalczyk""","""3,4""",--
Alpha,"""En Europe, il y a 20 000 ans, durant l'ère Paléolithique supérieur, un jeune homme part braver une nature dangereuse et inhospitalière afin de retrouver le chemin de sa tribu.""","22 août 2018
","
1h 36min
","""
Aventure,
Drame""","
Albert Hughes","""
Félix Bossuet,
Tchéky Karyo,
Margaux Chatelier""","""3,2""",--
Belle et Sébastien,"""Ça se passe là-haut, dans les Alpes. Ça se passe là où la neige est immaculée, là où les chamois coursent les marmottes, là où les sommets tutoient les nuages. Ça se passe dans un village paisible jusqu’à l’arrivée des Allemands.""","18 décembre 2013
","
1h 44min
","""
Aventure,
Famille""","
Nicolas Vanier","""
Edward Norton,
Paul Giamatti,
Jessica Biel""","""4,0""",--
L'Illusionniste,"""Vienne, dans les années 1900. Surgit le charismatique et mystérieux illusionniste Eisenheim, qui ne tarda pas à devenir l'homme le plus célèbre de la ville... Mais la gloire d'Eisenheim est intolérable au Prince héritier Leopold...""","17 janvier 2007
","
1h 50min

","""
Drame,
Fantastique,
Thriller""","
Neil Burger","""
Stacy Martin,
Vincent Dedienne,
Maria Apostolakea""","""3,8""",--
I love Greece,"""Jean et Marina, un couple franco-grec, partent à Athènes pour les vacances d’été. Ils y retrouvent l’exubérante famille de Marina et une Grèce en crise. Alors qu’ils projettent de passer quelques jours en amoureux sur une petite île des Cyclades, toute la famille décide de les accompagner.""","6 juillet 2022
","
1h 31min
","
Comédie","
Nafsika Guerry-Karamaounas","""
Johnny Depp,
Helena Bonham Carter,
Emily Watson""","""2,3""",--
Les Noces funèbres,"""Au XIXe siècle, dans un petit village d'Europe de l'est, Victor, un jeune homme, découvre le monde de l'au-delà après avoir épousé, sans le vouloir, le cadavre d'une mystérieuse mariée.""","19 octobre 2005
","
1h 17min
","""
Animation,
Famille,
Fantastique""","""
Mike Johnson,
Tim Burton""","""
Gilles Lellouche,
Roschdy Zem,
Gérard Lanvin""","""4,0""",--
A bout portant,"""Tout va pour le mieux pour Samuel et Nadia : lui est bientôt infirmier et elle, attend son premier enfant. Mais tout bascule lorsque Nadia se fait kidnapper sous l'oeil impuissant de Samuel. A son réveil, son portable retentit...""","1 décembre 2010
","
1h 25min
","
Policier","
Fred Cavayé","""
Tom Hanks,
Helen Hunt,
Nick Searcy""","""3,7""",--
Seul au monde,"""Employé d'une société de transport, Chuck Noland n'hésite pas à abandonner sa petite amie le soir de Noël pour assumer une mission. Mais, pris dans une tempête, son avion s'abîme en plein Pacifique. Agrippé à un radeau de sauvetage, Chuck rejoint un îlot désert. Petit à petit, il y apprend la survie...""","17 janvier 2001
","
2h 23min
","""
Aventure,
Drame""","
Robert Zemeckis","""
Bradley Cooper,
Ed Helms,
Zach Galifianakis""","""4,1""",--
Very Bad Trip,"""Au réveil d'un enterrement de vie de garçon bien arrosé, les trois amis du fiancé se rendent compte qu'il a disparu 40 heures avant la cérémonie de mariage. Ils vont alors devoir faire fi de leur gueule de bois pour comprendre ce qui s'est passé...""","24 juin 2009
","

1h 30min
","
Comédie","
Todd Phillips","""
Sarah Michelle Gellar,
Jason Behr,
Clea DuVall""","""4,0""",--
The Grudge,Dans ce qui paraît être une paisible maison de Tokyo se cache un épouvantable fléau. Quiconque franchit le seuil de la demeure est aussitôt frappé par une malédiction qui ne tardera pas à le tuer dans un sentiment d'indicible rage...,"29 décembre 2004
","
1h 31min
","""
Fantastique,
Epouvante-horreur,
Thriller""","
Takashi Shimizu","""
Coline Serreau,
Vincent Lindon,
Marion Cotillard""","""2,6""",--
La belle verte,"""Quelque part dans l'univers existe une planète dont les habitants évolués et heureux vivent en parfaite harmonie. De temps en temps quelques-uns d'entre eux partent en excursion sur d'autres planètes. Curieusement, depuis deux cents ans plus personne ne veut aller sur la planète Terre. Or un jour, pour des raisons personnelles, une jeune femme ...""","18 septembre 1996
","

1h 39min
","
Comédie","
Coline Serreau","""
Mel Gibson,
Julia Sawalha,
Miranda Richardson""",--,"""4,3"""
Chicken Run,"""A la ferme des Tweedy, les poules qui ne pondent assez savent qu'elles risquent de se retrouver au menu du dîner. Mais l'intrépide Ginger et ses congénères sont bien décidées à saisir la première occasion de s'évader pour échapper à ce sinistre destin…""","21 novembre 2000
","
1h 24min
","""
Aventure,
Animation,
Comédie""","""
Peter Lord,
Nick Park""","""
Patrick Hivon,
Monia Chokri,
Nadia Tereszkiewicz""",--,"""3,5"""
Babysitter,"""Suite à une blague sexiste devenue virale, Cédric, jeune papa, est suspendu par son employeur. Pour se racheter, il va avec l'aide de son frère Jean-Michel, s'interroger sur les fondements de sa misogynie à travers l’écriture d’un livre.""","27 avril 2022
","
 1h 27min
","
Comédie","
Monia Chokri",0,--,0
Taxi 4,"""Après cinq ans d'absence, nous retrouvons Daniel et Emilien pour de nouvelles aventures sur la Canebière.""","14 février 2007
","
1h 30min
","""
Action,
Comédie,
 Policier""","
Gérard Krawczyk","""
Samy Naceri,
Frédéric Diefenthal,
Bernard Farcy""","""2,2""","""1,4"""
Demon Slayer - Kimetsu no Yaiba - Le film : Le train de l'infini,"""Le groupe de Tanjirô a terminé son entraînement de récupération au domaine des papillons et embarque à présent en vue de sa prochaine mission à bord du train de l'infini, d'où quarante personnes ont disparu en peu de temps.""","19 mai 2021
","
1h 57min
","""
Action,
Animation,
Fantastique""","
Haruo Sotozaki","""
Enzo Ratsito,
Natsuki Hanae,
Akari Kito""","""3,8""","""4,1"""
Le Maître d'école,"""Gérard Barbier, vendeur de jeans, est renvoyé. Possesseur du baccalauréat, il décide de devenir instituteur suppléant. Nommé dans une école, il s'aperçoit vite que le métier d'instituteur n'est pas comme il l'imaginait...""","28 octobre 1981
","
1h 35min
","
Comédie dramatique","
Claude Berri","""
 Coluche,
Roland Giraud,

Josiane Balasko""","""2,9""",--
