Nom Film,Resume,date,heure,Type ,Réalisateur,Acteur,Note presse,Note Public
The Last Girl – Celle qui a tous les dons,"Au fin fond de la campagne anglaise, une base militaire héberge et retient prisonniers un groupe d’enfants peu ordinaires qui, malgré le fait d’avoir été infectés par un agent pathogène « zombie » qui a décimé la planète, demeurent capables de penser et de ressentir des émotions.","28 juin 2017
","
1h 52min
","
Drame,
Epouvante-horreur,
Thriller","
Colm McCarthy","
Gemma Arterton,
Glenn Close,
Paddy Considine","3,3",--
La French,"L'histoire du destin tragique du célèbre juge Michel, assassiné en 1981 par la Pègre marseillaise.","3 décembre 2014
","
2h 15min
","
Action,
Policier,
Thriller","
Cédric Jimenez","
Jean Dujardin,
Gilles Lellouche,
Benoît Magimel","4,1",--
Love,"Un 1er janvier au matin, le téléphone sonne. Murphy, 25 ans, se réveille entouré de sa jeune femme et de son enfant de deux ans. Il écoute son répondeur. Sur le message, la mère d'Electra lui demande, très inquiète, s'il n'a pas eu de nouvelle de sa fille disparue depuis longtemps. Elle craint qu'il lui soit arrivé un accident grave.","15 juillet 2015
","
2h 20min
","
Drame,
Erotique","
Gaspar Noé","
Karl Glusman,

Aomi Muyock,
Klara Kristin","3,3","2,9"
American Girl,"Ani FaNelli, New-Yorkaise à la langue bien pendue, semble tout avoir pour être heureuse : un poste convoité à la rédaction d'un magazine réputé, une garde-robe à tomber et un mariage de rêve prévu à Nantucket. Mais quand le réalisateur d'un documentaire l'invite à raconter sa version du terrible incident survenu au prestigieux lycée Brentley durant son adolescence, Ani doit affronter une sombre vérité qui menace la vie qu'elle s'est bâtie au prix de tant d'efforts.","7 octobre 2022
","
1h 55min
","
Drame,
Thriller","
Mike Barker","
Mila Kunis,
Chiara Aurelia,

Finn Wittrock","3,2",--
En Attendant Bojangles,"Camille et Georges dansent tout le temps sur leur chanson préférée Mr Bojangles. Chez eux, il n'y a de place que pour le plaisir, la fantaisie et les amis. Jusqu'au jour où la mère va trop loin, contraignant Georges et leur fils Gary à tout faire pour éviter l'inéluctable coûte que coûte.","5 janvier 2022
","
2h 05min
","
Comédie,
Comédie dramatique,
Drame","
Regis Roinsard","
Virginie Efira,
Romain Duris,
Grégory Gadebois","3,8",--
Maison de Retraite,"Afin d’éviter la case prison, Milann, 30 ans, est contraint d’effectuer 300 heures de travaux d’intérêt généraldans une maison de retraite. Au fil des semaines, il découvre que l’établissement profite de la vulnérabilité de ses pensionnaires pour les arnaquer.","16 février 2022
","
1h 37min
","
Comédie","
Thomas Gilou","
Kev Adams,
Gérard Depardieu,
Daniel Prévost","3,4",--
Brothers,Un soldat est envoyé au combat en Afghanistan. Il confie à son frère le soin de s'occuper de sa famille.,"3 février 2010
","
1h 45min
","
Drame","
Jim Sheridan","
Jake Gyllenhaal,
Tobey Maguire,
Natalie Portman","4,0",--
The Gray Man,"Lorsqu'un énigmatique espion de la CIA découvre des secrets inavouables, il se retrouve traqué aux quatre coins du monde par un agent sociopathe qui a mis sa tête à prix.","22 juillet 2022
","
2h 08min
 ","
Action,
Thriller","
Joe Russo,
Anthony Russo","
Ryan Gosling,
Chris Evans,
Ana de Armas","3,0",--
"Maman, j'ai raté l'avion","La famille McCallister a decidé de passer les fêtes de Noel à Paris. Seulement Kate et Peter McCallister s'aperçoivent dans l'avion qu'il leur manque le plus jeune de leurs enfants, Kevin, âgé de 9 ans. D'abord désespéré, Kevin reprend vite les choses en main et s'organise pour vivre le mieux possible. Quand deux cambrioleurs choisissent ...","19 décembre 1990
","
1h 43min
","
Aventure,
 Comédie","
Chris Columbus","
Macaulay Culkin,
Catherine O'Hara,
Joe Pesci",--,"3,4"
La Fracture,"Raf et Julie, un couple au bord de la rupture, se retrouvent dans un service d’Urgences proche de l'asphyxie le soir d'une manifestation parisienne des Gilets Jaunes.","27 octobre 2021
","
1h 39min
","
Comédie,

Comédie dramatique,
Drame","
Catherine Corsini","
Valeria Bruni Tedeschi,
Marina Foïs,
Pio Marmaï",--,"3,0"
